species,condition,rxn_id,rxn_name,flux,direction,metabolite_class
B_subtilis,glucose_aerobic,EX_ac_e,Acetate exchange,6.800410932965506,secretion,fermentation_product
B_subtilis,glucose_aerobic,EX_fe3_e,Fe3+ exchange,-0.00239066490738223,uptake,ion_or_inorganic
B_subtilis,glucose_aerobic,EX_glc__D_e,D-Glucose exchange,-10.0,uptake,carbon
B_subtilis,glucose_aerobic,EX_ca2_e,Calcium exchange,-0.0022208930516405935,uptake,ion_or_inorganic
B_subtilis,glucose_aerobic,EX_so4_e,Sulfate exchange,-0.11801985054078604,uptake,ion_or_inorganic
B_subtilis,glucose_aerobic,EX_co2_e,CO2 exchange,21.61393683955423,secretion,gas
B_subtilis,glucose_aerobic,EX_glyclt_e,Glycolate exchange,0.00025431131043747874,secretion,nitrogen
B_subtilis,glucose_aerobic,EX_h2o_e,H2O exchange,32.71095638922678,secretion,ion_or_inorganic
B_subtilis,glucose_aerobic,EX_h_e,H+ exchange,11.310004608376072,secretion,ion_or_inorganic
B_subtilis,glucose_aerobic,EX_k_e,K+ exchange,-0.4894363223370892,uptake,ion_or_inorganic
B_subtilis,glucose_aerobic,EX_mg2_e,Mg exchange,-0.07048234504042787,uptake,ion_or_inorganic
B_subtilis,glucose_aerobic,EX_nh4_e,Ammonia exchange,-5.550810703191324,uptake,nitrogen
B_subtilis,glucose_aerobic,EX_o2_e,O2 exchange,-20.0,uptake,gas
B_subtilis,glucose_aerobic,EX_pi_e,Phosphate exchange,-1.063524356678741,uptake,ion_or_inorganic
B_subtilis,glucose_low_o2,EX_ac_e,Acetate exchange,3.9956491647586017,secretion,fermentation_product
B_subtilis,glucose_low_o2,EX_fe3_e,Fe3+ exchange,-0.0008581086083842512,uptake,ion_or_inorganic
B_subtilis,glucose_low_o2,EX_for_e,Formate exchange,0.0019669341666864472,secretion,fermentation_product
B_subtilis,glucose_low_o2,EX_glc__D_e,D-Glucose exchange,-10.0,uptake,carbon
B_subtilis,glucose_low_o2,EX_ca2_e,Calcium exchange,-0.0007971704608323261,uptake,ion_or_inorganic
B_subtilis,glucose_low_o2,EX_so4_e,Sulfate exchange,-0.04236221036103521,uptake,ion_or_inorganic
B_subtilis,glucose_low_o2,EX_co2_e,CO2 exchange,5.5783252813461335,secretion,gas
B_subtilis,glucose_low_o2,EX_glyclt_e,Glycolate exchange,9.128285776145839e-05,secretion,nitrogen
B_subtilis,glucose_low_o2,EX_h2o_e,H2O exchange,9.56150501246533,secretion,ion_or_inorganic
B_subtilis,glucose_low_o2,EX_h_e,H+ exchange,18.12694938196617,secretion,ion_or_inorganic
B_subtilis,glucose_low_o2,EX_k_e,K+ exchange,-0.17567895866814412,uptake,ion_or_inorganic
B_subtilis,glucose_low_o2,EX_lac__L_e,L-Lactate exchange,12.510653416516895,secretion,fermentation_product
B_subtilis,glucose_low_o2,EX_mg2_e,Mg exchange,-0.025299031592230643,uptake,ion_or_inorganic
B_subtilis,glucose_low_o2,EX_nh4_e,Ammonia exchange,-1.9924157640042406,uptake,nitrogen
B_subtilis,glucose_low_o2,EX_o2_e,O2 exchange,-5.0,uptake,gas
B_subtilis,glucose_low_o2,EX_pi_e,Phosphate exchange,-0.3817429213413882,uptake,ion_or_inorganic
