metabolite_id,metabolite_name,compartment,formula,charge
10fthf_c,10-Formyltetrahydrofolate,C_c,C20H21N7O7,-2
12dgr120_c,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)",C_c,C27H52O5,0
12dgr120_p,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)",C_p,C27H52O5,0
12dgr140_c,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",C_c,C31H60O5,0
12dgr140_p,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",C_p,C31H60O5,0
12dgr141_c,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)",C_c,C31H56O5,0
12dgr141_p,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)",C_p,C31H56O5,0
12dgr160_c,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)",C_c,C35H68O5,0
12dgr160_p,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)",C_p,C35H68O5,0
12dgr161_c,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)",C_c,C35H64O5,0
12dgr161_p,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)",C_p,C35H64O5,0
12dgr180_c,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",C_c,C39H76O5,0
12dgr180_p,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",C_p,C39H76O5,0
12dgr181_c,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)",C_c,C39H72O5,0
12dgr181_p,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)",C_p,C39H72O5,0
12ppd__R_c,"(R)-Propane-1,2-diol",C_c,C3H8O2,0
12ppd__S_c,"(S)-Propane-1,2-diol",C_c,C3H8O2,0
12ppd__S_e,"(S)-Propane-1,2-diol",C_e,C3H8O2,0
13dpg_c,3-Phospho-D-glyceroyl phosphate,C_c,C3H4O10P2,-4
14glucan_e,"1,4-alpha-D-glucan",C_e,C36H62O31,0
