reaction_id,reaction_name,equation,lower_bound,upper_bound,gene_rule,subsystem
EX_12ppd__S_e,EX_12ppd__S_e,12ppd__S_e <=> ,-1000.0,1000.0,,
EX_14glucan_e,EX_14glucan_e,14glucan_e <=> ,-1000.0,1000.0,,
EX_25dkglcn_e,EX_25dkglcn_e,25dkglcn_e <=> ,-1000.0,1000.0,,
EX_2dhglcn_e,EX_2dhglcn_e,2dhglcn_e <=> ,-1000.0,1000.0,,
EX_2m35mdntha_e,EX_2m35mdntha_e,2m35mdntha_e <=> ,-1000.0,1000.0,,
EX_2mbald_e,EX_2mbald_e,2mbald_e <=> ,-1000.0,1000.0,,
EX_2obut_e,EX_2obut_e,2obut_e <=> ,-1000.0,1000.0,,
EX_2pglyc_e,EX_2pglyc_e,2pglyc_e <=> ,-1000.0,1000.0,,
EX_34dhbz_e,EX_34dhbz_e,34dhbz_e <=> ,-1000.0,1000.0,,
EX_34dhpac_e,EX_34dhpac_e,34dhpac_e <=> ,-1000.0,1000.0,,
EX_35dnta_e,EX_35dnta_e,35dnta_e <=> ,-1000.0,1000.0,,
EX_4abut_e,EX_4abut_e,4abut_e <=> ,-1000.0,1000.0,,
EX_4abutn_e,EX_4abutn_e,4abutn_e <=> ,-1000.0,1000.0,,
EX_4ahmmp_e,EX_4ahmmp_e,4ahmmp_e <=> ,-1000.0,1000.0,,
EX_4hphac_e,EX_4hphac_e,4hphac_e <=> ,-1000.0,1000.0,,
EX_4hpro_LT_e,EX_4hpro_LT_e,4hpro_LT_e <=> ,-1000.0,1000.0,,
EX_5drib_e,EX_5drib_e,5drib_e <=> ,-1000.0,1000.0,,
EX_R_3htd5e_e,EX_R_3htd5e_e,R_3htd5e_e <=> ,-1000.0,1000.0,,
EX_abt_e,EX_abt_e,abt_e <=> ,-1000.0,1000.0,,
EX_ac_e,EX_ac_e,ac_e <=> ,-1000.0,1000.0,,
EX_acac_e,EX_acac_e,acac_e <=> ,-1000.0,1000.0,,
EX_acald_e,EX_acald_e,acald_e <=> ,-1000.0,1000.0,,
EX_acglu_e,EX_acglu_e,acglu_e <=> ,-1000.0,1000.0,,
EX_actn__R_e,EX_actn__R_e,actn__R_e <=> ,-1000.0,1000.0,,
EX_ad_e,EX_ad_e,ad_e <=> ,-1000.0,1000.0,,
EX_ade_e,EX_ade_e,ade_e <=> ,-1000.0,1000.0,,
EX_agm_e,EX_agm_e,agm_e <=> ,-1000.0,1000.0,,
EX_akg_e,EX_akg_e,akg_e <=> ,-1000.0,1000.0,,
EX_ala__D_e,EX_ala__D_e,ala__D_e <=> ,-1000.0,1000.0,,
EX_ala__L_e,EX_ala__L_e,ala__L_e <=> ,-1000.0,1000.0,,
EX_alaala_e,EX_alaala_e,alaala_e <=> ,-1000.0,1000.0,,
EX_anhgm_e,EX_anhgm_e,anhgm_e <=> ,-1000.0,1000.0,,
EX_arab__L_e,EX_arab__L_e,arab__L_e <=> ,-1000.0,1000.0,,
EX_arg__L_e,EX_arg__L_e,arg__L_e <=> ,-1000.0,1000.0,,
EX_asn__L_e,EX_asn__L_e,asn__L_e <=> ,-1000.0,1000.0,,
EX_aso3_e,EX_aso3_e,aso3_e <=> ,-1000.0,1000.0,,
EX_aso4_e,EX_aso4_e,aso4_e <=> ,-1000.0,1000.0,,
EX_asp__L_e,EX_asp__L_e,asp__L_e <=> ,-1000.0,1000.0,,
EX_btn_e,EX_btn_e,btn_e <=> ,-1000.0,1000.0,,
EX_bz_e,EX_bz_e,bz_e <=> ,-1000.0,1000.0,,
EX_ca2_e,EX_ca2_e,ca2_e <=> ,-1000.0,1000.0,,
EX_carn_e,EX_carn_e,carn_e <=> ,-1000.0,1000.0,,
EX_cd2_e,EX_cd2_e,cd2_e <=> ,-1000.0,1000.0,,
EX_chol_e,EX_chol_e,chol_e <=> ,-1000.0,1000.0,,
EX_chols_e,EX_chols_e,chols_e <=> ,-1000.0,1000.0,,
EX_chsterol_e,EX_chsterol_e,chsterol_e <=> ,-1000.0,1000.0,,
EX_cit_e,EX_cit_e,cit_e <=> ,-1000.0,1000.0,,
EX_cl_e,EX_cl_e,cl_e <=> ,-1000.0,1000.0,,
