condition,reaction_id,reaction_name,flux,subsystem,equation
glucose_aerobic,13GS,1 3 beta glucan synthase,0.9583216581317532,,udpg_c --> 13BDglcn_c + h_c + udp_c
glucose_aerobic,2DDA7Ptm,2 Dehydro 3 deoxy D arabino heptonate7 phohsphate mitochondrial transport via diffusion,-0.223197404163044,,2dda7p_c <=> 2dda7p_m
glucose_aerobic,ACCOAC,Acetyl-CoA carboxylase,0.3357672640757712,,accoa_c + atp_c + hco3_c <=> adp_c + h_c + malcoa_c + pi_c
glucose_aerobic,AGAT_SC,1 Acyl glycerol 3 phosphate acyltransferase  yeast specific,0.02085878124414373,,0.01 1ag3p_SC_c + 0.02 dcacoa_c + 0.06 ddcacoa_c + 0.17 hdcoa_c + 0.09 ocdycacoa_c + 0.24 odecoa_c + 0.27 pmtcoa_c + 0.05 stcoa_c + 0.1 tdcoa_c --> coa_c + 0.01 pa_SC_c
glucose_aerobic,AGPRim,N acetyl g glutamyl phosphate reductase  irreversible  mitochondrial,0.27479544197750483,,acg5p_m + h_m + nadph_m --> acg5sa_m + nadp_m + pi_m
glucose_aerobic,AGTi,Alanine glyoxylate aminotransferase  irreversible,0.04400611702964502,,ala__L_c + glx_c --> gly_c + pyr_c
glucose_aerobic,AHCi,Adenosylhomocysteinase,0.015791870820465088,,ahcys_c + h2o_c --> adn_c + hcys__L_c
glucose_aerobic,AHSERL2,O acetylhomoserine  thiol  lyase,0.04838899454613105,,achms_c + h2s_c --> ac_c + h_c + hcys__L_c
glucose_aerobic,ACGKm,Acetylglutamate kinase  mitochondrial,0.27479544197750483,,acglu_m + atp_m --> acg5p_m + adp_m
glucose_aerobic,2OBUTtm,2obut transporter  mitochondrial,0.1627322731071456,,2obut_c <=> 2obut_m
glucose_aerobic,2OXOADPtim,2 oxoadipate transport out of mitochondria via diffusion,0.24169162720947107,,2oxoadp_m --> 2oxoadp_c
glucose_aerobic,ACHBSm,2 aceto 2 hydroxybutanoate synthase  mitochondrial,0.1627322731071456,,2obut_m + h_m + pyr_m --> 2ahbut_m + co2_m
glucose_aerobic,ACLSm,Acetolactate synthase  mitochondrial,0.47375612461395267,,h_m + 2.0 pyr_m --> alac__S_m + co2_m
glucose_aerobic,AICART,Phosphoribosylaminoimidazolecarboxamide formyltransferase,0.1395849373216443,,10fthf_c + aicar_c <=> fprica_c + thf_c
glucose_aerobic,AIRCr,Phosphoribosylaminoimidazole carboxylase,0.08359557713999533,,air_c + co2_c <=> 5aizc_c + h_c
glucose_aerobic,AKGDam,Oxoglutarate dehydrogenase  lipoamide,6.143152074217521,,akg_m + h_m + lpam_m <=> co2_m + sdhlam_m
glucose_aerobic,AKGDbm,Oxoglutarate dehydrogenase  dihydrolipoamide S succinyltransferase,6.143152074217521,,coa_m + sdhlam_m --> dhlam_m + succoa_m
glucose_aerobic,ALATA_L,L-alanine transaminase,-0.4314558674269382,,akg_c + ala__L_c <=> glu__L_c + pyr_c
glucose_aerobic,34HPPt2m,3  4 hydroxyphenyl pyruvate mitochondrial transport via proton symport,0.08613747720253685,,34hpp_c + h_c <=> 34hpp_m + h_m
glucose_aerobic,ACONT,Aconitate hydratase,5.4838664824445,,cit_c <=> icit_c
glucose_aerobic,ACONTm,Aconitate hydratase,1.5636530987432984,,cit_m <=> icit_m
glucose_aerobic,ACOTAim,Acteylornithine transaminase  irreversible  mitochondrial,0.27479544197750483,,acg5sa_m + glu__L_m --> acorn_m + akg_m
glucose_aerobic,ACS,Acetyl-CoA synthetase,0.4314474225762362,,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c
glucose_aerobic,ACt2r,Acetate reversible transport via proton symport,-4.419308602426924,,ac_e + h_e <=> ac_c + h_c
glucose_aerobic,ACtr,Acetate transporter,4.4193086024282735,,ac_e <=> ac_c
glucose_aerobic,3C3HMPtm,2 Isopropylmalate transport  diffusion  mitochondrial,-0.2503053749297247,,3c3hmp_c <=> 3c3hmp_m
glucose_aerobic,ADK1,Adenylate kinase,1.3166197838914917,,amp_c + atp_c <=> 2.0 adp_c
glucose_aerobic,ALCD2x_copy2,Alcohol dehydrogenase (ethanol),-3.013316195182817,,etoh_c + nad_c <=> acald_c + h_c + nadh_c
glucose_aerobic,ALDD2y,"Aldehyde dehydrogenase (acetaldehyde, NADP)",0.38305842802875567,,acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c
glucose_aerobic,ADNK1,Adenosine kinase,0.015791870820465088,,adn_c + atp_c --> adp_c + amp_c + h_c
glucose_aerobic,ADSK,Adenylyl-sulfate kinase,0.04838899454613105,,aps_c + atp_c --> adp_c + h_c + paps_c
glucose_aerobic,ADSL1r,Adenylsuccinate lyase,0.09787581968406295,,dcamp_c <=> amp_c + fum_c
glucose_aerobic,ADSL2r,Adenylosuccinate lyase,0.08359557713999533,,25aics_c <=> aicar_c + fum_c
glucose_aerobic,ADSS,Adenylosuccinate synthase,0.09787581968406295,,asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c
glucose_aerobic,ANPRT,Anthranilate phosphoribosyltransferase,0.023983376005412223,,anth_c + prpp_c --> ppi_c + pran_c
glucose_aerobic,ATPtm_H,ADPATP transporter  mitochondrial,48.88767909999791,,adp_c + atp_m + h_c --> adp_m + atp_c + h_m
glucose_aerobic,ANS,Anthranilate synthase,0.023983376005412223,,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c
glucose_aerobic,BPNT,"3',5'-bisphosphate nucleotidase",0.04838899454613105,,h2o_c + pap_c --> amp_c + pi_c
glucose_aerobic,C14STR,C 14 sterol reductase,0.001857867155348834,,44mctr_c + h_c + nadph_c --> 44mzym_c + nadp_c
glucose_aerobic,C24STRer,C s24 sterol reductase  endoplamic reticular,0.0005911395494291744,,ergtetrol_r + h_r + nadph_r --> ergst_r + nadp_r
glucose_aerobic,C3STDH1,C 3 sterol dehydrogenase  4 methylzymosterol,0.001857867155348834,,4mzym_int1_c + nad_c --> 4mzym_int2_c + co2_c + h_c + nadh_c
glucose_aerobic,ARGSL,Argininosuccinate lyase,0.1357087508475262,,argsuc_c <=> arg__L_c + fum_c
glucose_aerobic,ARGSS,Argininosuccinate synthase,0.1357087508475262,,asp__L_c + atp_c + citr__L_c <=> amp_c + argsuc_c + h_c + ppi_c
glucose_aerobic,ASAD,Aspartate-semialdehyde dehydrogenase,-0.3671821087025787,,aspsa_c + nadp_c + pi_c <-- 4pasp_c + h_c + nadph_c
glucose_aerobic,C3STDH2,C 3 sterol dehydrogenase  zymosterol,0.001857867155348834,,nad_c + zym_int1_c --> co2_c + h_c + nadh_c + zym_int2_c
glucose_aerobic,C3STKR1,C 3 sterol keto reductase  4 methylzymosterol,0.001857867155348834,,4mzym_int2_c + h_c + nadph_c --> 4mzym_c + nadp_c
glucose_aerobic,C3STKR2,C 3 sterol keto reductase  zymosterol,0.001857867155348834,,h_c + nadph_c + zym_int2_c --> nadp_c + zymst_c
glucose_aerobic,C4STMO1,C 4 sterol methyl oxidase  4 4 dimethylzymosterol,0.001857867155348834,,44mzym_c + 3.0 h_c + 3.0 nadph_c + 3.0 o2_c --> 4mzym_int1_c + 4.0 h2o_c + 3.0 nadp_c
glucose_aerobic,C4STMO2,C 4 sterol methyl oxidase  4 methylzymosterol,0.001857867155348834,,4mzym_c + 3.0 h_c + 3.0 nadph_c + 3.0 o2_c --> 4.0 h2o_c + 3.0 nadp_c + zym_int1_c
glucose_aerobic,ASNS1,Asparagine synthase (glutamine-hydrolysing),0.08588413168135292,,asp__L_c + atp_c + gln__L_c + h2o_c --> amp_c + asn__L_c + glu__L_c + h_c + ppi_c
