species,condition,rxn_id,rxn_name,flux,direction,metabolite_class
S_cerevisiae,glucose_aerobic,EX_h2o_e,H2O exchange,30.679666440024146,secretion,other
S_cerevisiae,glucose_aerobic,EX_co2_e,CO2 exchange,23.616493879293575,secretion,gas
S_cerevisiae,glucose_aerobic,EX_h_e,H+ exchange,4.252353903966701,secretion,other
S_cerevisiae,glucose_aerobic,EX_etoh_e,Ethanol exchange,3.013316195182817,secretion,fermentation_product
S_cerevisiae,glucose_aerobic,EX_for_e,Formate exchange,0.00436598781506976,secretion,fermentation_product
S_cerevisiae,glucose_aerobic,EX_so4_e,Sulfate exchange,-0.06527869595839317,uptake,ion
S_cerevisiae,glucose_aerobic,EX_pi_e,Phosphate exchange,-0.16695469846022348,uptake,ion
S_cerevisiae,glucose_aerobic,EX_nh4_e,Ammonia exchange,-4.726126918283443,uptake,nitrogen
S_cerevisiae,glucose_aerobic,EX_glc__D_e,D-Glucose exchange,-10.0,uptake,carbon
S_cerevisiae,glucose_aerobic,EX_o2_e,O2 exchange,-20.0,uptake,gas
S_cerevisiae,glucose_low_o2,EX_co2_e,CO2 exchange,18.948134353163454,secretion,gas
S_cerevisiae,glucose_low_o2,EX_etoh_e,Ethanol exchange,13.675920926386764,secretion,fermentation_product
S_cerevisiae,glucose_low_o2,EX_h2o_e,H2O exchange,9.819721742120954,secretion,other
S_cerevisiae,glucose_low_o2,EX_h_e,H+ exchange,1.919082649374967,secretion,other
S_cerevisiae,glucose_low_o2,EX_for_e,Formate exchange,0.0019703655087264815,secretion,fermentation_product
S_cerevisiae,glucose_low_o2,EX_so4_e,Sulfate exchange,-0.029460203834537138,uptake,ion
S_cerevisiae,glucose_low_o2,EX_pi_e,Phosphate exchange,-0.07534647216152734,uptake,ion
S_cerevisiae,glucose_low_o2,EX_nh4_e,Ammonia exchange,-2.1328958907093236,uptake,nitrogen
S_cerevisiae,glucose_low_o2,EX_o2_e,O2 exchange,-5.0,uptake,gas
S_cerevisiae,glucose_low_o2,EX_glc__D_e,D-Glucose exchange,-10.0,uptake,carbon
S_cerevisiae,maltose_aerobic,EX_co2_e,CO2 exchange,40.84975389888422,secretion,gas
S_cerevisiae,maltose_aerobic,EX_h2o_e,H2O exchange,23.72055851783043,secretion,other
S_cerevisiae,maltose_aerobic,EX_etoh_e,Ethanol exchange,20.074829442397924,secretion,fermentation_product
S_cerevisiae,maltose_aerobic,EX_h_e,H+ exchange,5.463154762883111,secretion,other
S_cerevisiae,maltose_aerobic,EX_for_e,Formate exchange,0.0056091444092577075,secretion,fermentation_product
S_cerevisiae,maltose_aerobic,EX_so4_e,Sulfate exchange,-0.08386593091598085,uptake,ion
S_cerevisiae,maltose_aerobic,EX_pi_e,Phosphate exchange,-0.2144928142573459,uptake,ion
S_cerevisiae,maltose_aerobic,EX_nh4_e,Ammonia exchange,-6.071828301863597,uptake,nitrogen
S_cerevisiae,maltose_aerobic,EX_malt_e,Maltose exchange,-10.0,uptake,carbon
S_cerevisiae,maltose_aerobic,EX_o2_e,O2 exchange,-20.0,uptake,gas
