reaction_id,reaction_name,subsystem
CITtcp,Citrateisocitrate antiport into peroxisome,
13BGH,Endo 1 3 beta glucan glucohydrase,
13BGHe,Exo 1 3 beta glucan glucohydrase,
13GS,1 3 beta glucan synthase,
16GS,1 6 beta glucan synthase,
23CAPPD,ADP ribose 2 3 cyclic phosphodiesterase,
2DDA7Ptm,2 Dehydro 3 deoxy D arabino heptonate7 phohsphate mitochondrial transport via diffusion,
2DHPtm,2 Dehydropantoate mitochondrial transport,
2DOXG6PP,2 deoxyglucose 6 phosphatase,
2HBO,2 HydroxybutyrateNAD oxidoreductase,
2HBt2,2 hydroxybutyrate cotransport with proton,
2HMHMBQMTm,2 hexaprenyl 3 methyl 5 hydroxy 6 methoxy 1 4 benzoquinone methyltransferase  mitochondrial,
2HP6MPMOm,2 Hexaprenyl 6 methoxyphenol monooxygenase  mitochondrial,
2HPMBQMTm,2 hexaprenyl 6 methoxy 1 4 benzoquinone methyltransferase  mitochondrial,
2HPMMBQMOm,2 hexaprenyl 3 methyl 6 methoxy 1 4 benzoquinone monooxygenase  mitochondrial,
2MBACt,2 methylbutyl transport  extracellular,
EX_epistest_SC_e,Episterol ester  yeast specific exchange,
EX_epist_e,Episterol exchange,
2MBALDt,2 Methylbutanal transport  extracellular,
2MBALDtm,2 Methylbutanal transport  mitochondrial,
2MBTOHt,2 methyl 1 butanol transport  extracellular,
ACACT6p,Acetyl CoA C acetyltransferase  dodecanoyl   peroxisomal,
2MBTOHtm,2 methyl 1 butanol transport  mitochondrial,
ACACT7p,Acetyl CoA acyltransferase  tetradecanoyl CoA   peroxisomal,
2MPPALt,2 methylpropanal transport  extracellular,
ACACT8p,Acetyl CoA acyltransferase  hexadecanoyl CoA   peroxisomal,
ACACT9p,Acetyl CoA acyltransferase  tetracosanoyl CoA   peroxisomal,
ACALDCD,Acetaldehyde condensation,
ACALDt,Acetaldehyde reversible transport,
ACALDtm,Acetaldehyde mitochondrial diffusion,
ACCOAC,Acetyl-CoA carboxylase,
ACCOACrm,Acetyl Coa carboxylase  mitochondrial,
AGAT_SC,1 Acyl glycerol 3 phosphate acyltransferase  yeast specific,
AGPRim,N acetyl g glutamyl phosphate reductase  irreversible  mitochondrial,
AGTi,Alanine glyoxylate aminotransferase  irreversible,
AHCYStm,S adenosyl L homocysteine reversible transport  mitochondrial,
ACCOAtn,Acetyl CoA transport  nuclear,
2MPPALtm,2 methylpropanal transport  mitochondrial,
ACESt,Acetic ester transport  extracellular,
ACGAM6PS,N acetylglucosamine 6 phosphate synthase,
AHCi,Adenosylhomocysteinase,
AHMMPS,4 amino 5 hydroxymethyl 2 methylpyrimidine synthetase,
AHSERL,O acetylhomoserine  thiol  lyase,
AHSERL2,O acetylhomoserine  thiol  lyase,
ACGAMPM,Phosphoacetylglucosamine mutase,
ACGKm,Acetylglutamate kinase  mitochondrial,
2OBUTtm,2obut transporter  mitochondrial,
ACGSm,N acteylglutamate synthase  mitochondrial,
2OXOADPtim,2 oxoadipate transport out of mitochondria via diffusion,
ACHBSm,2 aceto 2 hydroxybutanoate synthase  mitochondrial,
ACHLE1,Isoamyl acetate hydrolyzing esterase,
2PHETOHt,2 phenylethanol reversible transport,
ACHLE2,Isobutyl acetate hydrolyzing esterase,
ACHLE3,Ethyl acetate hydrolyzing esterase,
ACLSm,Acetolactate synthase  mitochondrial,
2PHETOHtm,2 phenylethanol reversible transport  mitochondrial,
ACOAHim,Acetyl CoA hydrolase  mitochondrial  irreversible,
34HPLFM,3  4 hydroxyphenyl  lactate formation,
ACOAO4p,Acyl CoA oxidase  decanoyl CoA   peroxisomal,
AICART,Phosphoribosylaminoimidazolecarboxamide formyltransferase,
AIRCr,Phosphoribosylaminoimidazole carboxylase,
AKGDam,Oxoglutarate dehydrogenase  lipoamide,
AKGDbm,Oxoglutarate dehydrogenase  dihydrolipoamide S succinyltransferase,
ACOAO5p,Acyl CoA oxidase  dodecanoyl CoA   peroxisomal,
ACOAO6p,Acyl CpA oxidase  tetradecanoyl CoA   peroxisomal,
ACOAO7p,Acyl CoA oxidase  hexadecanoyl CoA   peroxisomal,
ACOAO8p,Acyl CoA oxidase  octadecanoyl CoA   peroxisomal,
ACOAO9p,Acyl CoA oxidase  hexacanoyl CoA   peroxisomal,
AKGMAL,Alpha ketoglutaratemalate transporter,
AKGt2n,2 oxoglutarate nuclear transport via proton symport,
AKGt2r,2 oxoglutarate reversible transport via symport,
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,
AKGtp,AKG transporter  peroxisome,
AKP1,Alkaline phosphatase  Dihydroneopterin,
ALASm,5 aminolevulinate synthase,
ALATA_L,L-alanine transaminase,
ALATA_Lm,L alanine transaminase  mitochondrial,
ACOATA,Acetyl-CoA ACP transacylase,
ACOATAm,Acetyl CoA ACP transacylase,
ACON3MT,Trans aconitate 3 methyltransferase,
ALATRS,Alanyl-tRNA synthetase,
34HPPt2m,3  4 hydroxyphenyl pyruvate mitochondrial transport via proton symport,
ALAt2r,L alanine reversible transport via proton symport,
ALAtmi,Alanine transport from mitochondia to cytoplasm,
ACONT,Aconitate hydratase,
ACONT3m,Aconitase  mitochondrial,
ACONTm,Aconitate hydratase,
ACOTAim,Acteylornithine transaminase  irreversible  mitochondrial,
ALCD19y,Alcohol dehydrogenase  glycerol  NADP,
ALCD22xi,Aldehyde dehydrogenase  2 methylbutanol  NAD,
ALCD22xim,Aldehyde dehydrogenase  2 methylbutanol  NAD   mitochondrial,
34HPPt2p,3  4 hydroxyphenyl pyruvate peroxisomal transport via proton symport,
ALCD22yi,Aldehyde dehydrogenase  2 methylbutanol  NADP,
ALCD23xi,Aldehyde dehydrogenase  isobutyl alcohol  NAD,
ALCD23xim,Aldehyde dehydrogenase  isobutyl alcohol  NAD   mitochondrial,
ALCD23yi,Aldehyde dehydrogenase  isobutyl alcohol  NADP,
ALCD24xi,Aldehyde dehydrogenase  isoamyl alcohol  NAD,
ALCD24xim,Aldehyde dehydrogenase  isoamyl alcohol  NAD   mitochondrial,
ACP1e,Acid phosphatase  extracellular  secreted,
ACPSm,Acyl carrier protein synthase  mitochondrial,
ACRNtm,O acetylcarnintine transport into mitochondria via diffusion,
ACRNtp,Acetylcarnitine transport out of peroxisome,
ACS,Acetyl-CoA synthetase,
ACSm,Acetyl CoA synthetase,
ACSp,Acetyl CoA synthetase,
ACt2r,Acetate reversible transport via proton symport,
ALCD24yi,Aldehyde dehydrogenase  isoamyl alcohol  NADP,
