reaction_id,reaction_name,reaction_equation,lower_bound,upper_bound,gene_reaction_rule,subsystem
CITtcp,Citrateisocitrate antiport into peroxisome,cit_c + icit_x <=> cit_x + icit_c,-999999.0,999999.0,,
13BGH,Endo 1 3 beta glucan glucohydrase,13BDglcn_c + h2o_c --> glc__D_c,0.0,999999.0,YGR282C,
13BGHe,Exo 1 3 beta glucan glucohydrase,13BDglcn_e + h2o_e --> glc__D_e,0.0,999999.0,YOR190W or YDR261C or YLR300W,
13GS,1 3 beta glucan synthase,udpg_c --> 13BDglcn_c + h_c + udp_c,0.0,999999.0,((YCR034W and YGR032W) and YLR343W) or ((YCR034W and YGR032W) and YMR215W) or ((YCR034W and YMR306W) and YMR215W) or ((YCR034W and YLR342W) and YOL132W) or ((YCR034W and YMR306W) and YOL132W) or ((YCR034W and YGR032W) and YOL030W) or ((YCR034W and YLR342W) and YOL030W) or ((YCR034W and YMR306W) and YOL030W) or ((YCR034W and YLR342W) and YLR343W) or ((YCR034W and YMR306W) and YLR343W) or ((YCR034W and YGR032W) and YOL132W) or ((YCR034W and YLR342W) and YMR215W) or ((YCR034W and YGR032W) and YMR307W) or ((YCR034W and YLR342W) and YMR307W) or ((YCR034W and YMR306W) and YMR307W),
16GS,1 6 beta glucan synthase,udpg_c --> 16BDglcn_c + h_c + udp_c,0.0,999999.0,YPR159W or YGR143W,
23CAPPD,ADP ribose 2 3 cyclic phosphodiesterase,23camp_c + h2o_c + h_c --> amp2p_c,0.0,999999.0,YGR247W,
2DDA7Ptm,2 Dehydro 3 deoxy D arabino heptonate7 phohsphate mitochondrial transport via diffusion,2dda7p_c <=> 2dda7p_m,-999999.0,999999.0,,
2DHPtm,2 Dehydropantoate mitochondrial transport,2dhp_c <=> 2dhp_m,-999999.0,999999.0,,
2DOXG6PP,2 deoxyglucose 6 phosphatase,2doxg6p_c + h2o_c --> 2dglc_c + pi_c,0.0,999999.0,YHR044C or YHR043C,
2HBO,2 HydroxybutyrateNAD oxidoreductase,2hb_c + nad_c <=> 2obut_c + h_c + nadh_c,-999999.0,999999.0,,
2HBt2,2 hydroxybutyrate cotransport with proton,2hb_e + h_e <=> 2hb_c + h_c,-999999.0,999999.0,,
2HMHMBQMTm,2 hexaprenyl 3 methyl 5 hydroxy 6 methoxy 1 4 benzoquinone methyltransferase  mitochondrial,2hpmhmbq_m + amet_m --> ahcys_m + h_m + q6_m,0.0,999999.0,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,
2HP6MPMOm,2 Hexaprenyl 6 methoxyphenol monooxygenase  mitochondrial,2hp6mp_m + o2_m --> 2hp6mbq_m + h2o_m,0.0,999999.0,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,
2HPMBQMTm,2 hexaprenyl 6 methoxy 1 4 benzoquinone methyltransferase  mitochondrial,2hp6mbq_m + amet_m --> 2hpmmbq_m + ahcys_m + h_m,0.0,999999.0,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,
2HPMMBQMOm,2 hexaprenyl 3 methyl 6 methoxy 1 4 benzoquinone monooxygenase  mitochondrial,2hpmmbq_m + 0.5 o2_m --> 2hpmhmbq_m,0.0,999999.0,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,
2MBACt,2 methylbutyl transport  extracellular,2mbac_c --> 2mbac_e,0.0,999999.0,,
EX_epistest_SC_e,Episterol ester  yeast specific exchange,epistest_SC_e --> ,0.0,999999.0,,
EX_epist_e,Episterol exchange,epist_e --> ,0.0,999999.0,,
2MBALDt,2 Methylbutanal transport  extracellular,2mbald_c <=> 2mbald_e,-999999.0,999999.0,,
2MBALDtm,2 Methylbutanal transport  mitochondrial,2mbald_c <=> 2mbald_m,-999999.0,999999.0,,
2MBTOHt,2 methyl 1 butanol transport  extracellular,2mbtoh_c <=> 2mbtoh_e,-999999.0,999999.0,,
ACACT6p,Acetyl CoA C acetyltransferase  dodecanoyl   peroxisomal,3otdcoa_x + coa_x --> accoa_x + ddcacoa_x,0.0,999999.0,YIL160C,
2MBTOHtm,2 methyl 1 butanol transport  mitochondrial,2mbtoh_c <=> 2mbtoh_m,-999999.0,999999.0,,
ACACT7p,Acetyl CoA acyltransferase  tetradecanoyl CoA   peroxisomal,3ohdcoa_x + coa_x --> accoa_x + tdcoa_x,0.0,999999.0,YIL160C,
2MPPALt,2 methylpropanal transport  extracellular,2mppal_c <=> 2mppal_e,-999999.0,999999.0,,
ACACT8p,Acetyl CoA acyltransferase  hexadecanoyl CoA   peroxisomal,3ohodcoa_x + coa_x --> accoa_x + pmtcoa_x,0.0,999999.0,YIL160C,
ACACT9p,Acetyl CoA acyltransferase  tetracosanoyl CoA   peroxisomal,3ohxccoa_x + coa_x --> accoa_x + ttccoa_x,0.0,999999.0,YIL160C,
ACALDCD,Acetaldehyde condensation,2.0 acald_c --> actn__R_c,0.0,999999.0,YLR044C or YGR087C or YLR134W,
ACALDt,Acetaldehyde reversible transport,acald_e <=> acald_c,-999999.0,999999.0,,
ACALDtm,Acetaldehyde mitochondrial diffusion,acald_m <=> acald_c,-999999.0,999999.0,,
ACCOAC,Acetyl-CoA carboxylase,accoa_c + atp_c + hco3_c <=> adp_c + h_c + malcoa_c + pi_c,-999999.0,999999.0,YNR016C,
ACCOACrm,Acetyl Coa carboxylase  mitochondrial,accoa_m + atp_m + hco3_m <=> adp_m + h_m + malcoa_m + pi_m,-999999.0,999999.0,YMR207C,
AGAT_SC,1 Acyl glycerol 3 phosphate acyltransferase  yeast specific,0.01 1ag3p_SC_c + 0.02 dcacoa_c + 0.06 ddcacoa_c + 0.17 hdcoa_c + 0.09 ocdycacoa_c + 0.24 odecoa_c + 0.27 pmtcoa_c + 0.05 stcoa_c + 0.1 tdcoa_c --> coa_c + 0.01 pa_SC_c,0.0,999999.0,YDL052C or UNKNOWN,
AGPRim,N acetyl g glutamyl phosphate reductase  irreversible  mitochondrial,acg5p_m + h_m + nadph_m --> acg5sa_m + nadp_m + pi_m,0.0,999999.0,YER069W,
AGTi,Alanine glyoxylate aminotransferase  irreversible,ala__L_c + glx_c --> gly_c + pyr_c,0.0,999999.0,YFL030W,
AHCYStm,S adenosyl L homocysteine reversible transport  mitochondrial,ahcys_c <=> ahcys_m,-999999.0,999999.0,,
ACCOAtn,Acetyl CoA transport  nuclear,accoa_c <=> accoa_n,-999999.0,999999.0,,
2MPPALtm,2 methylpropanal transport  mitochondrial,2mppal_c <=> 2mppal_m,-999999.0,999999.0,,
ACESt,Acetic ester transport  extracellular,aces_c --> aces_e,0.0,999999.0,,
ACGAM6PS,N acetylglucosamine 6 phosphate synthase,accoa_c + gam6p_c <=> acgam6p_c + coa_c + h_c,-999999.0,999999.0,YFL017C,
AHCi,Adenosylhomocysteinase,ahcys_c + h2o_c --> adn_c + hcys__L_c,0.0,999999.0,YER043C,
AHMMPS,4 amino 5 hydroxymethyl 2 methylpyrimidine synthetase,air_c + 2.0 h_c --> 4ahmmp_c + gcald_c + pi_c,0.0,999999.0,,
AHSERL,O acetylhomoserine  thiol  lyase,achms_c + ch4s_c --> ac_c + h_c + met__L_c,0.0,999999.0,YLR303W,
AHSERL2,O acetylhomoserine  thiol  lyase,achms_c + h2s_c --> ac_c + h_c + hcys__L_c,0.0,999999.0,YLR303W,
ACGAMPM,Phosphoacetylglucosamine mutase,acgam6p_c <=> acgam1p_c,-999999.0,999999.0,YEL058W,
ACGKm,Acetylglutamate kinase  mitochondrial,acglu_m + atp_m --> acg5p_m + adp_m,0.0,999999.0,YER069W,
2OBUTtm,2obut transporter  mitochondrial,2obut_c <=> 2obut_m,-999999.0,999999.0,,
ACGSm,N acteylglutamate synthase  mitochondrial,accoa_m + glu__L_m --> acglu_m + coa_m + h_m,0.0,999999.0,YMR062C or YJL071W,
2OXOADPtim,2 oxoadipate transport out of mitochondria via diffusion,2oxoadp_m --> 2oxoadp_c,0.0,999999.0,,
ACHBSm,2 aceto 2 hydroxybutanoate synthase  mitochondrial,2obut_m + h_m + pyr_m --> 2ahbut_m + co2_m,0.0,999999.0,YCL009C and YMR108W,
ACHLE1,Isoamyl acetate hydrolyzing esterase,h2o_c + iamac_c --> ac_c + h_c + iamoh_c,0.0,999999.0,YOR126C,
2PHETOHt,2 phenylethanol reversible transport,2phetoh_e <=> 2phetoh_c,-999999.0,999999.0,,
ACHLE2,Isobutyl acetate hydrolyzing esterase,h2o_c + ibutac_c --> ac_c + h_c + ibutoh_c,0.0,999999.0,YOR126C,
ACHLE3,Ethyl acetate hydrolyzing esterase,aces_c + h2o_c --> ac_c + etoh_c + h_c,0.0,999999.0,YOR126C,
ACLSm,Acetolactate synthase  mitochondrial,h_m + 2.0 pyr_m --> alac__S_m + co2_m,0.0,999999.0,YCL009C and YMR108W,
2PHETOHtm,2 phenylethanol reversible transport  mitochondrial,2phetoh_m <=> 2phetoh_c,-999999.0,999999.0,,
ACOAHim,Acetyl CoA hydrolase  mitochondrial  irreversible,accoa_m + h2o_m --> ac_m + coa_m + h_m,0.0,999999.0,YBL015W,
34HPLFM,3  4 hydroxyphenyl  lactate formation,34hpp_m + h_m + nadh_m --> 34hpl_m + nad_m,0.0,999999.0,,
ACOAO4p,Acyl CoA oxidase  decanoyl CoA   peroxisomal,dcacoa_x + o2_x --> dc2coa_x + h2o2_x,0.0,999999.0,YGL205W,
AICART,Phosphoribosylaminoimidazolecarboxamide formyltransferase,10fthf_c + aicar_c <=> fprica_c + thf_c,-999999.0,999999.0,YLR028C or YMR120C,
AIRCr,Phosphoribosylaminoimidazole carboxylase,air_c + co2_c <=> 5aizc_c + h_c,-999999.0,999999.0,YOR128C,
AKGDam,Oxoglutarate dehydrogenase  lipoamide,akg_m + h_m + lpam_m <=> co2_m + sdhlam_m,-999999.0,999999.0,YIL125W and YDR148C and YFL018C,
AKGDbm,Oxoglutarate dehydrogenase  dihydrolipoamide S succinyltransferase,coa_m + sdhlam_m --> dhlam_m + succoa_m,0.0,999999.0,YIL125W and YDR148C and YFL018C,
ACOAO5p,Acyl CoA oxidase  dodecanoyl CoA   peroxisomal,ddcacoa_x + o2_x --> dd2coa_x + h2o2_x,0.0,999999.0,YGL205W,
ACOAO6p,Acyl CpA oxidase  tetradecanoyl CoA   peroxisomal,o2_x + tdcoa_x --> h2o2_x + td2coa_x,0.0,999999.0,YGL205W,
ACOAO7p,Acyl CoA oxidase  hexadecanoyl CoA   peroxisomal,o2_x + pmtcoa_x --> h2o2_x + hdd2coa_x,0.0,999999.0,YGL205W,
ACOAO8p,Acyl CoA oxidase  octadecanoyl CoA   peroxisomal,o2_x + stcoa_x --> h2o2_x + od2coa_x,0.0,999999.0,YGL205W,
ACOAO9p,Acyl CoA oxidase  hexacanoyl CoA   peroxisomal,hexccoa_x + o2_x --> h2o2_x + hxc2coa_x,0.0,999999.0,YGL205W,
AKGMAL,Alpha ketoglutaratemalate transporter,akg_c + mal__L_e <=> akg_e + mal__L_c,-999999.0,999999.0,,
AKGt2n,2 oxoglutarate nuclear transport via proton symport,akg_c + h_c <=> akg_n + h_n,-999999.0,999999.0,,
AKGt2r,2 oxoglutarate reversible transport via symport,akg_e + h_e <=> akg_c + h_c,-999999.0,999999.0,,
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,34hpp_c + o2_c --> co2_c + hgentis_c,0.0,999999.0,,
AKGtp,AKG transporter  peroxisome,akg_c <=> akg_x,-999999.0,999999.0,,
AKP1,Alkaline phosphatase  Dihydroneopterin,ahdt_c + 3.0 h2o_c --> dhnpt_c + 2.0 h_c + 3.0 pi_c,0.0,999999.0,YDR481C,
ALASm,5 aminolevulinate synthase,gly_m + h_m + succoa_m --> 5aop_m + co2_m + coa_m,0.0,999999.0,YDR232W,
ALATA_L,L-alanine transaminase,akg_c + ala__L_c <=> glu__L_c + pyr_c,-999999.0,999999.0,YDR111C,
ALATA_Lm,L alanine transaminase  mitochondrial,akg_m + ala__L_m <=> glu__L_m + pyr_m,-999999.0,999999.0,YLR089C,
ACOATA,Acetyl-CoA ACP transacylase,ACP_c + accoa_c <=> acACP_c + coa_c,-999999.0,999999.0,YKL182W and YPL231W,
ACOATAm,Acetyl CoA ACP transacylase,ACP_m + accoa_m <=> acACP_m + coa_m,-999999.0,999999.0,YKL192C and YER061C and YHR067W and YOR221C and YBR026C and YKL055C,
ACON3MT,Trans aconitate 3 methyltransferase,acon_T_c + amet_c --> acon5m_c + ahcys_c,0.0,999999.0,YER175C,
ALATRS,Alanyl-tRNA synthetase,ala__L_c + atp_c + trnaala_c --> alatrna_c + amp_c + ppi_c,0.0,999999.0,YOR335C,
34HPPt2m,3  4 hydroxyphenyl pyruvate mitochondrial transport via proton symport,34hpp_c + h_c <=> 34hpp_m + h_m,-999999.0,999999.0,,
ALAt2r,L alanine reversible transport via proton symport,ala__L_e + h_e <=> ala__L_c + h_c,-999999.0,999999.0,YKR039W or YPL265W or YCL025C or YOL020W or YOR348C,
ALAtmi,Alanine transport from mitochondia to cytoplasm,ala__L_m --> ala__L_c,0.0,999999.0,,
ACONT,Aconitate hydratase,cit_c <=> icit_c,-999999.0,999999.0,YLR304C,
ACONT3m,Aconitase  mitochondrial,2mcit_m <=> micit_m,-999999.0,999999.0,YPR002W,
ACONTm,Aconitate hydratase,cit_m <=> icit_m,-999999.0,999999.0,YLR304C or YJL200C,
ACOTAim,Acteylornithine transaminase  irreversible  mitochondrial,acg5sa_m + glu__L_m --> acorn_m + akg_m,0.0,999999.0,YOL140W,
ALCD19y,Alcohol dehydrogenase  glycerol  NADP,glyald_c + h_c + nadph_c --> glyc_c + nadp_c,0.0,999999.0,YHR104W or YDR368W,
ALCD22xi,Aldehyde dehydrogenase  2 methylbutanol  NAD,2mbald_c + h_c + nadh_c --> 2mbtoh_c + nad_c,0.0,999999.0,YBR145W or YMR303C or YDL168W or YGL256W or YOL086C,
