species,condition,reaction_id,reaction_name,reaction_equation,flux
B_subtilis,dextrin_aerobic,ENO,Enolase,2pg_c <=> h2o_c + pep_c,35.731000618322156
B_subtilis,dextrin_aerobic,PYK,Pyruvate kinase,adp_c + h_c + pep_c --> atp_c + pyr_c,35.040090112132056
B_subtilis,dextrin_aerobic,PDH,Pyruvate dehydrogenase,coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,19.02775594707365
B_subtilis,dextrin_aerobic,XYLI2,Xylose isomerase,glc__D_c <=> fru_c,17.243387783606554
B_subtilis,dextrin_aerobic,EX_ac_e,Acetate exchange,ac_e --> ,16.447296299220746
B_subtilis,dextrin_aerobic,PTAr,Phosphotransacetylase,accoa_c + pi_c <=> actp_c + coa_c,16.071513889740757
B_subtilis,dextrin_aerobic,EX_lac__L_e,L-Lactate exchange,lac__L_e --> ,11.194400891260816
B_subtilis,dextrin_aerobic,DEXTRINt2,Dextrin transport in via proton symport,dextrin_e + h_e --> dextrin_c + h_c,9.999999999999854
B_subtilis,dextrin_aerobic,MLTG6,Maltodextrin glucosidase  dextrin,dextrin_c + 2.0 h2o_c --> 2.0 glc__D_c,9.999999999999854
B_subtilis,dextrin_aerobic,HEX1,Hexokinase (D-glucose:ATP),atp_c + glc__D_c --> adp_c + g6p_c + h_c,2.7566122163931537
B_subtilis,dextrin_aerobic,G6PDH2r,Glucose 6-phosphate dehydrogenase,g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c,2.535234840632092
B_subtilis,dextrin_aerobic,PGL,6-phosphogluconolactonase,6pgl_c + h2o_c --> 6pgc_c + h_c,2.535234840632092
B_subtilis,dextrin_aerobic,PC,Pyruvate carboxylase,atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c,2.215864223778409
B_subtilis,dextrin_aerobic,ASPK,Aspartate kinase,asp__L_c + atp_c <=> 4pasp_c + adp_c,0.9734480945722488
B_subtilis,dextrin_aerobic,ACCOAC,Acetyl-CoA carboxylase,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,0.895571191215475
