metabolite_id,metabolite_name,compartment,formula,charge
2aobut_c,L-2-Amino-3-oxobutanoate,c,C4H7NO3,0
2cpr5p_c,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,c,C12H13NO9P,-3
2dda7p_c,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,c,C7H10O10P,-3
2ddg6p_c,2-Dehydro-3-deoxy-D-gluconate 6-phosphate,c,C6H8O9P,-3
2ddglcn_c,2-Dehydro-3-deoxy-D-gluconate,c,C6H9O6,-1
2ddglcn_e,2-Dehydro-3-deoxy-D-gluconate,e,C6H9O6,-1
2dhp_c,2-Dehydropantoate,c,C6H9O4,-1
2dmmq7_c,2 Demethylmenaquinone 7 C45H62O2,c,C45H62O2,0
2dr1p_c,2-Deoxy-D-ribose 1-phosphate,c,C5H9O7P,-2
2dr5p_c,2-Deoxy-D-ribose 5-phosphate,c,C5H9O7P,-2
2h3k5m_c,2 hydroxy 3 keto 5 methylthiopentenyl 1 phosphate C6H8O6PS,c,C6H8O6PS,-3
2h3opp_c,2 Hydroxy 3 oxopropanoate C3H3O4,c,C3H3O4,-1
2hbut_c,2 Hydroxybutyrate C4H7O3,c,C4H7O3,-1
2hxmp_c,2  Hydroxymethyl phenol C7H8O2,c,C7H8O2,0
2hxmp_e,2  Hydroxymethyl phenol C7H8O2,e,C7H8O2,0
2ins_c,2-Inosose,c,C6H10O6,0
2ippm_c,2-Isopropylmaleate,c,C7H8O4,-2
2kmb_c,2-keto-4-methylthiobutyrate,c,C5H7O3S,-1
4r5au_c,4-(1-D-Ribitylamino)-5-aminouracil,c,C9H16N4O6,0
5aizc_c,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate,c,C9H11N3O9P,-3
10fthf_c,10-Formyltetrahydrofolate,c,C20H21N7O7,-2
2maacoa_c,2-Methyl-3-acetoacetyl-CoA,c,C26H38N7O18P3S,-4
5aop_c,5-Amino-4-oxopentanoate,c,C5H9NO3,0
5aprbu_c,5-Amino-6-(5'-phosphoribitylamino)uracil,c,C9H15N4O9P,-2
5apru_c,5-Amino-6-(5'-phosphoribosylamino)uracil,c,C9H13N4O9P,-2
