reaction_id,reaction_name,subsystem
EX_etha_e,Ethanolamine exchange,
EX_drib_e,Deoxy D Ribose exchange,
EX_csn_e,Cytosine exchange,
EX_5mtr_e,5-Methylthio-D-ribose exchange,
EX_dtmp_e,DTMP exchange,
EX_6pgc_e,6 Phospho D gluconate exchange,
EX_ctbt_e,Crotonobetaine exchange,
EX_cu2_e,Cu2+ exchange,
EX_Larab_e,Alpha L Arabinan exchange,
EX_ectoine_e,Ectoine exchange,
EX_cys__D_e,D-Cysteine exchange,
EX_cys__L_e,L-Cysteine exchange,
EX_eths_e,Ethanesulfonate exchange,
EX_cyst__L_e,L Cystine exchange,
EX_Lcyst_e,L-Cysteate exchange,
EX_cytd_e,Cytidine exchange,
EX_abt__L_e,L Arabinitol exchange,
EX_etoh_e,Ethanol exchange,
EX_dad_2_e,Deoxyadenosine exchange,
EX_dcyt_e,Deoxycytidine exchange,
EX_fe2_e,Fe2+ exchange,
EX_dextrin_e,Dextrin exchange,
EX_dha_e,Dihydroxyacetone exchange,
EX_ac_e,Acetate exchange,
EX_acac_e,Acetoacetate exchange,
EX_fe3_e,Fe3+ exchange,
EX_ferrich_e,Ferrichrome exchange,
EX_diact_e,Diacetyl exchange,
EX_djenk_e,Djenkolate exchange,
EX_ferxa_e,Ferroxamine exchange,
EX_fol_e,EX fol LPAREN e RPAREN,
EX_acgam_e,N-Acetyl-D-glucosamine exchange,
EX_acmana_e,N-Acetyl-D-mannosamine exchange,
EX_acnam_e,N-Acetylneuraminate exchange,
EX_for_e,Formate exchange,
EX_fru_e,D-Fructose exchange,
EX_actn__R_e,EX actn R LPAREN e RPAREN,
EX_ade_e,Adenine exchange,
EX_adn_e,Adenosine exchange,
EX_akg_e,2-Oxoglutarate exchange,
EX_ala_B_e,Beta-Alanine exchange,
EX_ala__D_e,D-Alanine exchange,
EX_ala_L_Thr__L_e,Ala L Thr L exchange,
EX_ala_L_asp__L_e,Ala L asp L exchange,
EX_ala__L_e,L-Alanine exchange,
EX_ala_L_gln__L_e,Ala Gln exchange,
EX_ala_L_glu__L_e,Ala L glu L exchange,
EX_L_alagly_e,Ala L gly exchange,
EX_ala_L_his__L_e,Ala His exchange,
EX_ala_L_leu__L_e,Ala Leu exchange,
EX_g6p_e,D-Glucose 6-phosphate exchange,
EX_gal_e,D-Galactose exchange,
EX_galctr__D_e,D Galactarate exchange,
EX_galt_e,Galactitol exchange,
EX_galur_e,D-Galacturonate exchange,
EX_gam6p_e,D-Glucosamine 6-phosphate exchange,
EX_gam_e,D-Glucosamine exchange,
EX_gbbtn_e,Gamma-butyrobetaine exchange,
EX_glc__D_e,D-Glucose exchange,
EX_glcn__D_e,D Gluconate exchange,
EX_glcr_e,D-Glucarate exchange,
EX_glcur_e,D-Glucuronate exchange,
EX_gln__L_e,L-Glutamine exchange,
EX_glu__D_e,D Glutamate exchange,
EX_alaala_e,D-Alanyl-D-alanine exchange,
EX_alltn_e,Allantoin exchange,
EX_amp_e,AMP exchange,
EX_amylase_e,Mature Bacillus subtilis amylase exchange,
EX_fum_e,Fumarate exchange,
EX_antim_e,Antimonite exchange,
EX_g1p_e,D-Glucose 1-phosphate exchange,
EX_glu__L_e,L-Glutamate exchange,
EX_arab__D_e,D Arabinose exchange,
EX_arab__L_e,L-Arabinose exchange,
EX_arbt_e,Arbutin exchange,
EX_arg__L_e,L-Arginine exchange,
EX_argp_e,L Arginine phosphate exchange,
EX_arsenb_e,ARSENOBETAINE exchange,
EX_arsna_e,Arsenate exchange,
EX_arsni2_e,Arsenite exchange,
EX_asn__L_e,L-Asparagine exchange,
EX_asp__L_e,L-Aspartate exchange,
EX_bilea_e,Bile acid exchange,
EX_btd_RR_e,R R  2 3 Butanediol exchange,
EX_glx_e,Glyoxylate exchange,
EX_buts_e,Butanesulfonate exchange,
EX_ca2_e,Calcium exchange,
EX_cbl2_e,Cob II alamin exchange,
EX_pur_e,Puromycin exchange,
EX_pyr_e,Pyruvate exchange,
EX_cd2_e,Cadmium exchange,
EX_gly_asn__L_e,Gly asn L exchange,
EX_cellb_e,Cellobiose exchange,
EX_cgly_e,Cys-Gly exchange,
EX_raffin_e,Raffinose exchange,
EX_rib__D_e,D-Ribose exchange,
EX_gly_asp__L_e,Gly asp L exchange,
EX_ribflv_e,Riboflavin exchange,
EX_chitob_e,Chitobiose exchange,
EX_gly_e,Glycine exchange,
EX_chol_e,Choline exchange,
EX_rmn_e,L-Rhamnose exchange,
EX_gly_gln__L_e,Gly Gln exchange,
EX_chols_e,EX chols LPAREN e RPAREN,
EX_chor_e,Chorismate exchange,
EX_cit_e,Citrate exchange,
EX_salcn_e,Salicin exchange,
EX_gly_glu__L_e,Gly glu L exchange,
EX_sbt__D_e,D-Sorbitol exchange,
EX_ser__D_e,D-Serine exchange,
EX_citr__L_e,L-Citrulline exchange,
EX_cmp_e,CMP exchange,
EX_ser__L_e,L-Serine exchange,
EX_gly_met__L_e,Gly Met exchange,
EX_so4_e,Sulfate exchange,
EX_spmd_e,Spermidine exchange,
EX_co2_e,CO2 exchange,
EX_cobalt2_e,Co2+ exchange,
EX_crn_e,L-Carnitine exchange,
EX_cro4_e,Chromate exchange,
EX_srb__L_e,L Sorbose exchange,
EX_starch_e,Starch exchange,
EX_subtilisin_e,Mature Bacillus subtilis subtilisin exchange,
EX_succ_e,Succinate exchange,
EX_sucr_e,Sucrose exchange,
EX_gly_pro__L_e,Gly pro L exchange,
EX_sula_e,Sulfoacetate exchange,
EX_taur_e,Taurine exchange,
EX_glyb_e,Glycine betaine exchange,
EX_thiog_e,Thioglycolate exchange,
EX_glyc3p_e,Glycerol 3-phosphate exchange,
EX_glyc_e,Glycerol exchange,
EX_glyclt_e,Glycolate exchange,
EX_glycogen_e,Glycogen exchange,
EX_gmp_e,GMP exchange,
EX_gsn_e,Guanosine exchange,
EX_thr__L_e,L-Threonine exchange,
EX_gthox_e,Oxidized glutathione exchange,
EX_thym_e,Thymine exchange,
EX_gthrd_e,Reduced glutathione exchange,
EX_thymd_e,Thymidine exchange,
EX_gua_e,Guanine exchange,
EX_tmp_e,Trimetaphosphate exchange,
EX_tre_e,Trehalose exchange,
EX_trp__L_e,L-Tryptophan exchange,
EX_h2o2_e,Hydrogen peroxide exchange,
EX_tyr__L_e,L-Tyrosine exchange,
EX_h2o_e,H2O exchange,
EX_ump_e,UMP exchange,
EX_ura_e,Uracil exchange,
3UMPt6,3  UMP transport in via proton symport,
EX_h_e,H+ exchange,
5MTRt2,5 Methylthio D ribose transport inout via proton symport,
6PGCt6,6 Phospho D gluconate transport inout via proton symport,
EX_urate_e,Urate exchange,
2HXMPt6,2  hydroxymethyl phenol transport inout via proton symport,
EX_hexs_e,Hexanesulfonate exchange,
2PGLYCt6,2 Phosphoglycolate transport inout via proton symport,
2PGt6,D Glycerate 2 phosphate transport inout via proton symport,
3AMPt6,3  AMP transport inout via proton symport,
3CMPt6,3  CMP transport in via proton symport,
EX_urea_e,Urea exchange,
EX_uri_e,Uridine exchange,
EX_val__L_e,L-Valine exchange,
EX_xan_e,Xanthine exchange,
EX_xtsn_e,Xanthosine exchange,
EX_xyl__D_e,D-Xylose exchange,
EX_zn2_e,Zinc exchange,
3GMPt6,Guanosine 3  phsophate transport inout via proton symport,
3PGt6,3 Phospho D glycerate transport inout via proton symport,
ABTt_1,L arabinitol transport via passive diffusion,
F6Pt6_2,Fructose 6 phosphate transport via phosphate antiport,
EX_hg2_e,Hg2+ exchange,
EX_his__L_e,L-Histidine exchange,
EX_hqn_e,Hydroquinone exchange,
EX_hxan_e,Hypoxanthine exchange,
PHEt2r,L phenylalanine reversible transport via proton symport,
ACACt2,Acetoacetate transport via proton symport,
EX_icit_e,Isocitrate exchange,
2S6HCCi,2 succinyl 6 hydroxy 2 4 cyclohexadiene 1 carboxylate synthase,
26DPAi,Dipicolinate synthase,
3AMBAt2,3 aminobutyrate transport in via proton symport,
FDH,Formate dehydrogenase,
FDMO_1,FmnRD dependent monooxygenase  methanesulfonate,
EX_ile__L_e,L-Isoleucine exchange,
AAMYL_1,Alpha amylase,
EX_inost_e,Myo-Inositol exchange,
EX_ins_e,Inosine exchange,
EX_istnt_e,Isethionate exchange,
ABTA,4-aminobutyrate transaminase,
EX_k_e,K+ exchange,
EX_lac__L_e,L-Lactate exchange,
EX_lanth_e,Lanthionine exchange,
FBA,Fructose-bisphosphate aldolase,
EX_lcts_e,Lactose exchange,
FBA2,D Fructose 1 phosphate D glyceraldehyde 3 phosphate lyase,
FBP,Fructose-bisphosphatase,
FCLT_2,Heme B synthesis reaction,
FDMO1,FMN dependent monooxygenase  ethanesulfonate,
FDMO2_1,FMN dependent monooxygenase  butanesulfonate,
FDMO3_1,FMN dependent monooxygenase  hexanesulfonate,
AB6PGH,Arbutin 6-phosphate glucohydrolase,
ABUTD,Aminobutyraldehyde dehydrogenase,
MACCOAT,2-Methylacetyl-CoA thiolase,
ACACT2r,Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r),
ACACT3r,Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r),
ACACT4r,Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r),
ACACT5r_1,Acetyl CoA C acyltransferase  decanoyl CoA,
ACACT6r_1,Acetyl CoA C acyltransferase  dodecanoyl CoA,
ACACT7r,Acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r),
FDMO4_1,FMN dependent monooxygenase  taurine,
FDMO5_1,FMN dependent monooxygenase  sulfoacetate,
FDMO6_1,FMN dependent monooxygenase  isethionate,
ACACT1r,Acetyl-CoA C-acetyltransferase,
ACCOAC,Acetyl-CoA carboxylase,
EX_leu__L_e,L-Leucine exchange,
ACGApts,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS,
ACGK,Acetylglutamate kinase,
FE2abc,Iron (II) transport via ABC system,
EX_lipt_e,Lipoate exchange,
ACGS,N-acetylglutamate synthase,
EX_lys__L_e,L-Lysine exchange,
FOLD3,Dihydropteroate synthase,
ACMANAt2,N acetyl D mannosamine proton symport,
ACNAMt2,N-acetylneuraminate proton symport,
EX_madg_e,Alpha Methyl D glucoside exchange,
ACNPLYS,N-Acetylneuraminate pyruvate-lyase,
EX_mal__D_e,D-Malate exchange,
ALLTNt2r,Allantoin transport in via proton symport,
EX_mal__L_e,L-Malate exchange,
ACt2r,Acetate reversible transport via proton symport,
ADEt2,Adenine transport in via proton symport,
ACKr,Acetate kinase,
ACLDC,Acetolactate decarboxylase,
ALLTAHr,Allantoate amidinohydrolase  reversible,
EX_malt_e,Maltose exchange,
AMPt6,AMP transport inout via proton symport,
ACODA_1,Acetylornithine deacetylase,
ACOAD20,Acyl CoA dehydrogenase  2 methylbutnoyl CoA,
EX_malttr_e,Maltotriose exchange,
EX_man1p_e,D Mannose 1 phosphate exchange,
ACONT,Aconitate hydratase,
ACOAD2,Acyl-CoA dehydrogenase (hexanoyl-CoA),
EX_man6p_e,D-Mannose 6-phosphate exchange,
ACOAD1,Acyl-CoA dehydrogenase (butanoyl-CoA),
ACOADH2,Acyl CoA dehydrogenase  isobutyryl CoA,
ARABDI,L-fucose isomerase,
ARAB_Dt,D arabinose reversible transport,
ACOTA,Acetylornithine transaminase,
ARGKr,ATPL arginine N phosphotransferase,
EX_man_e,D-Mannose exchange,
ARGPt6,L arginine phosphate transport inout via proton symport,
ACPS1,Acyl-carrier protein synthase,
EX_3ump_e,3'-UMP exchange,
EX_mbdg_e,Beta Methylglucoside exchange,
APATi,Tetrahydrodipicolinate acetyltransferase,
EX_melib_e,Melibiose exchange,
EX_meoh_e,Methanol exchange,
EX_met__D_e,D-Methionine exchange,
APRAUR,5-amino-6-(5-phosphoribosylamino)uracil reductase,
APSR,Adenosine 5'-phosphosulfate reductase;,
ACPpds,[acyl-carrier-protein] phosphodiesterase,
ACS,Acetyl-CoA synthetase,
EX_met_L_ala__L_e,Met L ala L exchange,
ALKP,Alkaline phosphatase,
APTA1i,Acetyl L L diaminopimelate aminotransferase,
EX_met__L_e,L-Methionine exchange,
ALCD19_L,Alcohol dehydrogenase  L glyceraldehyde to glycerol  NADP,
ACS2,Acetyl-CoA synthase (propionate),
ACTD2,Acetoin dehydrogenase,
ACTNabc,Acetoin transport via ABC system,
ACTNabc1,Acetoin efflux  via ABC system,
ALCD2y,"Alcohol dehydrogenase (ethanol, NADP)",
ADADir,Deoxycytidine kinase,
EX_metox__R_e,L methionine R oxide exchange,
ADNK1,Adenosine kinase,
ADCL,4-aminobenzoate synthase,
ADD,Adenine deaminase,
ALLTN,Allantoinase,
ALTRH,Altronate hydrolase,
EX_metox_e,L Methionine S oxide exchange,
ARABRr,Arabinose reductase,
ARAI,L-arabinose isomerase,
