condition,reaction_id,reaction_name,flux,subsystem,equation
glucose_aerobic,EX_acald_e,EX_acald_e,10.572632957483009,,acald_e --> 
glucose_aerobic,EX_ca2_e,EX_ca2_e,-0.0019968955567602675,,ca2_e <=> 
glucose_aerobic,EX_cl_e,EX_cl_e,-0.0019968955567602675,,cl_e <=> 
glucose_aerobic,EX_co2_e,EX_co2_e,22.482094763806256,,co2_e --> 
glucose_aerobic,EX_cobalt2_e,EX_cobalt2_e,-3.836494825668141e-05,,cobalt2_e <=> 
glucose_aerobic,EX_cu2_e,EX_cu2_e,-0.0002720074831398712,,cu2_e <=> 
glucose_aerobic,EX_fe2_e,EX_fe2_e,-0.005676190006946651,,fe2_e <=> 
glucose_aerobic,EX_glc__D_e,EX_glc__D_e,-10.0,,glc__D_e <=> 
glucose_aerobic,EX_h2o_e,EX_h2o_e,40.36054619412955,,h2o_e <=> 
glucose_aerobic,EX_h_e,EX_h_e,-10.37857917100528,,h_e <=> 
glucose_aerobic,EX_k_e,EX_k_e,-0.07488569345066415,,k_e <=> 
glucose_aerobic,EX_mg2_e,EX_mg2_e,-0.0033281592612671124,,mg2_e <=> 
glucose_aerobic,EX_mn2_e,EX_mn2_e,-0.0002651017924536685,,mn2_e <=> 
glucose_aerobic,EX_nh4_e,EX_nh4_e,-4.296226604421869,,nh4_e <=> 
glucose_aerobic,EX_o2_e,EX_o2_e,-20.00000000000071,,o2_e <=> 
glucose_aerobic,EX_pheme_e,EX_pheme_e,0.0001044485716288103,,pheme_e --> 
glucose_aerobic,EX_pi_e,EX_pi_e,-0.37831406921282484,,pi_e <=> 
glucose_aerobic,EX_so4_e,EX_so4_e,-0.0961525352177904,,so4_e <=> 
glucose_aerobic,EX_zn2_e,EX_zn2_e,-0.0001308244735552836,,zn2_e <=> 
glucose_aerobic,AACT,,-0.4388320895412945,,accoa_c + akg_c + h2o_c + 2.0 h_c <=> coa_c + hcit_c
glucose_aerobic,AASAD3,L-aminoadipate-semialdehyde dehydrogenase (NADH),0.4388320895412945,,L2aadp6sa_c + h2o_c + nad_c --> L2aadp_c + 2.0 h_c + nadh_c
glucose_aerobic,AATA,2 aminoadipate transaminase,-0.4388320895412945,,2oxoadp_c + glu__L_c <=> L2aadp_c + akg_c
glucose_aerobic,ACALDt,Acetaldehyde reversible transport,-10.572632957483009,,acald_e <=> acald_c
glucose_aerobic,ACCOAL,Acetate-CoA ligase (ADP-forming),0.9430902272416277,,atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c
glucose_aerobic,ACHBS,2-aceto-2-hydroxybutanoate synthase,0.11146130052065392,,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
glucose_aerobic,ACLSb,Acetolactate synthase (step 2),0.757734199883755,,2ahethmpp_c + pyr_c --> alac__S_c + thmpp_c
glucose_aerobic,ACOXT,Acetyl-CoA:oxalate CoA-transferase,3.836494825668141e-05,,accoa_c + oxa_c <=> ac_c + oxalcoa_c
glucose_aerobic,ADCL,4-aminobenzoate synthase,0.00025666150383723673,,4adcho_c --> 4abz_c + h_c + pyr_c
glucose_aerobic,ADCS,4-amino-4-deoxychorismate synthase,0.00025666150383723673,,chor_c + gln__L_c --> 4adcho_c + glu__L_c
glucose_aerobic,ADK1,Adenylate kinase,0.8677291920820882,,amp_c + atp_c <=> 2.0 adp_c
glucose_aerobic,ADNK1,Adenosine kinase,3.836494825668141e-05,,adn_c + atp_c --> adp_c + amp_c + h_c
glucose_aerobic,ADSL1r,Adenylsuccinate lyase,0.11472462301939199,,dcamp_c <=> amp_c + fum_c
glucose_aerobic,ADSL2r,Adenylosuccinate lyase,0.17169273468573826,,25aics_c <=> aicar_c + fum_c
glucose_aerobic,ADSS,Adenylosuccinate synthase,0.11472462301939199,,asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c
glucose_aerobic,AGTi,Alanine glyoxylate aminotransferase  irreversible,-0.04087286492424547,,ala__L_c + glx_c <=> gly_c + pyr_c
glucose_aerobic,AHCi,Adenosylhomocysteinase,3.836494825668141e-05,,ahcys_c + h2o_c <=> adn_c + hcys__L_c
glucose_aerobic,AHSERL2,O acetylhomoserine  thiol  lyase,0.09448826376241555,,achms_c + h2s_c --> ac_c + h_c + hcys__L_c
glucose_aerobic,AICART,Phosphoribosylaminoimidazolecarboxamide formyltransferase,0.2080389193651531,,10fthf_c + aicar_c <=> fprica_c + thf_c
glucose_aerobic,AIRCr,Phosphoribosylaminoimidazole carboxylase,0.17169273468573826,,air_c + co2_c <=> 5aizc_c + h_c
