reaction_id,reaction_name,subsystem
EX_12ppd__S_e,EX_12ppd__S_e,
EX_14glucan_e,EX_14glucan_e,
EX_25dkglcn_e,EX_25dkglcn_e,
EX_2dhglcn_e,EX_2dhglcn_e,
EX_2m35mdntha_e,EX_2m35mdntha_e,
EX_2mbald_e,EX_2mbald_e,
EX_2obut_e,EX_2obut_e,
EX_2pglyc_e,EX_2pglyc_e,
EX_34dhbz_e,EX_34dhbz_e,
EX_34dhpac_e,EX_34dhpac_e,
EX_35dnta_e,EX_35dnta_e,
EX_4abut_e,EX_4abut_e,
EX_4abutn_e,EX_4abutn_e,
EX_4ahmmp_e,EX_4ahmmp_e,
EX_4hphac_e,EX_4hphac_e,
EX_4hpro_LT_e,EX_4hpro_LT_e,
EX_5drib_e,EX_5drib_e,
EX_R_3htd5e_e,EX_R_3htd5e_e,
EX_abt_e,EX_abt_e,
EX_ac_e,EX_ac_e,
EX_acac_e,EX_acac_e,
EX_acald_e,EX_acald_e,
EX_acglu_e,EX_acglu_e,
EX_actn__R_e,EX_actn__R_e,
EX_ad_e,EX_ad_e,
EX_ade_e,EX_ade_e,
EX_agm_e,EX_agm_e,
EX_akg_e,EX_akg_e,
EX_ala__D_e,EX_ala__D_e,
EX_ala__L_e,EX_ala__L_e,
EX_alaala_e,EX_alaala_e,
EX_anhgm_e,EX_anhgm_e,
EX_arab__L_e,EX_arab__L_e,
EX_arg__L_e,EX_arg__L_e,
EX_asn__L_e,EX_asn__L_e,
EX_aso3_e,EX_aso3_e,
EX_aso4_e,EX_aso4_e,
EX_asp__L_e,EX_asp__L_e,
EX_btn_e,EX_btn_e,
EX_bz_e,EX_bz_e,
EX_ca2_e,EX_ca2_e,
EX_carn_e,EX_carn_e,
EX_cd2_e,EX_cd2_e,
EX_chol_e,EX_chol_e,
EX_chols_e,EX_chols_e,
EX_chsterol_e,EX_chsterol_e,
EX_cit_e,EX_cit_e,
EX_cl_e,EX_cl_e,
EX_cm_e,EX_cm_e,
EX_co2_e,EX_co2_e,
EX_co_e,EX_co_e,
EX_coa_e,EX_coa_e,
EX_cobalt2_e,EX_cobalt2_e,
EX_crn_e,EX_crn_e,
EX_ctbt_e,EX_ctbt_e,
EX_cu2_e,EX_cu2_e,
EX_cyan_e,EX_cyan_e,
EX_cynt_e,EX_cynt_e,
EX_cys__L_e,EX_cys__L_e,
EX_cytd_e,EX_cytd_e,
EX_d23hb_e,EX_d23hb_e,
EX_dopa_e,EX_dopa_e,
EX_drib_e,EX_drib_e,
EX_dxyl_e,EX_dxyl_e,
EX_fe2_e,EX_fe2_e,
EX_fe3_e,EX_fe3_e,
EX_fe3dcit_e,EX_fe3dcit_e,
EX_fe3pyovd_kt_e,EX_fe3pyovd_kt_e,
EX_feoxam_e,EX_feoxam_e,
EX_feoxam_un_e,EX_feoxam_un_e,
EX_fol_e,EX_fol_e,
EX_fuc_e,EX_fuc_e,
EX_fum_e,EX_fum_e,
EX_g3pc_e,EX_g3pc_e,
EX_g3pe_e,EX_g3pe_e,
EX_g3pg_e,EX_g3pg_e,
EX_g3ps_e,EX_g3ps_e,
EX_gal_bD_e,EX_gal_bD_e,
EX_gal_e,EX_gal_e,
EX_galt_e,EX_galt_e,
EX_galur_e,EX_galur_e,
EX_glc__D_e,EX_glc__D_e,
EX_glcur_e,EX_glcur_e,
EX_gln__L_e,EX_gln__L_e,
EX_glu__L_e,EX_glu__L_e,
EX_glucan4_e,EX_glucan4_e,
EX_glucan6_e,EX_glucan6_e,
EX_gly_e,EX_gly_e,
EX_glyb_e,EX_glyb_e,
EX_glyc3p_e,EX_glyc3p_e,
EX_glyc_e,EX_glyc_e,
EX_glyclt_e,EX_glyclt_e,
EX_gthrd_e,EX_gthrd_e,
EX_gua_e,EX_gua_e,
EX_h2o2_e,EX_h2o2_e,
EX_h2o_e,EX_h2o_e,
EX_h2s_e,EX_h2s_e,
EX_h_e,EX_h_e,
EX_hia_e,EX_hia_e,
EX_his__L_e,EX_his__L_e,
EX_hxa_e,EX_hxa_e,
EX_hxan_e,EX_hxan_e,
EX_ile__L_e,EX_ile__L_e,
EX_ind3ac_e,EX_ind3ac_e,
EX_inost_e,EX_inost_e,
EX_k_e,EX_k_e,
EX_lac__D_e,EX_lac__D_e,
EX_lac__L_e,EX_lac__L_e,
EX_leu__L_e,EX_leu__L_e,
EX_lipoate_e,EX_lipoate_e,
EX_lmn2_e,EX_lmn2_e,
EX_lys__L_e,EX_lys__L_e,
EX_mal__L_e,EX_mal__L_e,
EX_man_e,EX_man_e,
EX_melib_e,EX_melib_e,
EX_met__D_e,EX_met__D_e,
EX_met__L_e,EX_met__L_e,
EX_metox__R_e,EX_metox__R_e,
EX_metox_e,EX_metox_e,
EX_mg2_e,EX_mg2_e,
EX_mn2_e,EX_mn2_e,
EX_n2o_e,EX_n2o_e,
EX_na1_e,EX_na1_e,
EX_nac_e,EX_nac_e,
EX_nh4_e,EX_nh4_e,
EX_ni2_e,EX_ni2_e,
EX_nmn_e,EX_nmn_e,
EX_no2_e,EX_no2_e,
EX_no3_e,EX_no3_e,
EX_no_e,EX_no_e,
EX_o2_e,EX_o2_e,
EX_ocdcea_e,EX_ocdcea_e,
EX_orn__L_e,EX_orn__L_e,
EX_orn_e,EX_orn_e,
EX_pacald_e,EX_pacald_e,
EX_pea_e,EX_pea_e,
EX_peamn_e,EX_peamn_e,
EX_phe__L_e,EX_phe__L_e,
EX_pheme_e,EX_pheme_e,
EX_pi_e,EX_pi_e,
EX_pnto__R_e,EX_pnto__R_e,
EX_ppap_e,EX_ppap_e,
EX_ppi_e,EX_ppi_e,
EX_pro__L_e,EX_pro__L_e,
EX_ptrc_e,EX_ptrc_e,
EX_pyovd_kt_e,EX_pyovd_kt_e,
EX_pyr_e,EX_pyr_e,
EX_raffin_e,EX_raffin_e,
EX_rib__D_e,EX_rib__D_e,
EX_salchs4_e,EX_salchs4_e,
EX_salchs4fe_e,EX_salchs4fe_e,
EX_sbt__D_e,EX_sbt__D_e,
EX_sel_e,EX_sel_e,
EX_ser__L_e,EX_ser__L_e,
EX_slnt_e,EX_slnt_e,
EX_so3_e,EX_so3_e,
EX_so4_e,EX_so4_e,
EX_spmd_e,EX_spmd_e,
EX_stfrnA_e,EX_stfrnA_e,
EX_succ_e,EX_succ_e,
EX_taur_e,EX_taur_e,
EX_tcynt_e,EX_tcynt_e,
EX_tet_e,EX_tet_e,
EX_thm_e,EX_thm_e,
EX_thr__L_e,EX_thr__L_e,
EX_thym_e,EX_thym_e,
EX_thymd_e,EX_thymd_e,
EX_tnt_e,EX_tnt_e,
EX_trp__L_e,EX_trp__L_e,
EX_tsul_e,EX_tsul_e,
EX_ttrcyc_e,EX_ttrcyc_e,
EX_tyr__L_e,EX_tyr__L_e,
EX_udcpp_e,EX_udcpp_e,
EX_ura_e,EX_ura_e,
EX_urea_e,EX_urea_e,
EX_val__L_e,EX_val__L_e,
EX_xan_e,EX_xan_e,
EX_xyl3_e,EX_xyl3_e,
EX_xyl__D_e,EX_xyl__D_e,
EX_xylb_e,EX_xylb_e,
EX_zn2_e,EX_zn2_e,
12DGR120tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)",
12DGR140tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)",
12DGR141tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)",
12DGR160tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0)",
12DGR161tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)",
12DGR180tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)",
12DGR181tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)",
12PPDRDH,R Propane 1 2 diol dehydratase,
12PPDt,"S-Propane-1,2-diol facilitated transport",
14GLUCANtexi,"1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible",
1P2CBXLCYCL,1 Pyrroline 2 carboxylate cyclation,
1P2CBXLR,Delta1 piperideine 2 carboxylate reductase,
25DKGLCNt2rpp,2 5 diketo D gluconate transport via proton symport  reversible  periplasm,
25DKGLCNtex,2 5 diketo D gluconate transport via diffusion  extracellular to periplasm,
2AGPE120tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm),
2AGPE141tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm),
2AGPE161tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm),
2AGPE181tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm),
2AGPEAT120,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0),
2AGPEAT141,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1),
2AGPEAT161,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1),
2AGPEAT181,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1),
2AGPG120tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) transporter via facilitated diffusion (periplasm),
2AGPG140tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) transporter via facilitated diffusion (periplasm),
2AGPG141tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm),
2AGPG160tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm),
2AGPG161tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm),
2AGPG180tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm),
2AGPG181tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm),
2AGPGAT120,2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0),
2AGPGAT140,2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0),
2AGPGAT141,2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1),
2AGPGAT160,2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0),
2AGPGAT161,2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1),
2AGPGAT180,2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0),
2AGPGAT181,2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1),
2DGLCNRx,2-dehydro-D-gluconate reductase (NADH),
2DGLCNRy,2-dehydro-D-gluconate reductase (NADPH),
2DGULRGx,2-Dehydro-L-gulonate reductase to gluconate (NADH),
2DGULRGy,2-Dehydro-L-gulonate reductase to gluconate (NADPH),
2DGULRx,2-dehydro-L-gulonate reductase (NADH),
2DGULRy,2-dehydro-L-gulonate reductase (NADPH),
2DHGLCNkt_tpp,2 ketogluconate transporter,
2DHGLCNtex,Ketogluconate transport via diffusion  extracellular to periplasm,
2DHPFALDL,2-dehydropantoate formaldehyde-lyase (3-methyl-2-oxobutanoate-forming),
2MBALDt,2 Methylbutanal transport  extracellular,
2OBUT_Et,2-Oxobutanoate transport (transport mechanism unknown - evidence from biolog data),
2PGLYCt6,2 Phosphoglycolate transport inout via proton symport,
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,
34dhpactex,Dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm),
3HBCOAHL,3-hydroxyisobutyryl-CoA hydrolase,
3HSA,MNXR19078,
3MOPDC,3 Methyl 2 oxopentanoate decarboxylase,
3NUCLE4,3  nucleotidase  guanosine 3  phosphate,
3OADPCOAT,3-oxoadipate CoA-transferase,
3OXCOAT,3-oxoadipyl-CoA thiolase,
3SALATAi,3-sulfino-alanine transaminase (irreversible),
3_4DHBZ1t_pp,"3,4DHBZ1t LPAREN pp RPAREN",
3_4DHBZt2,Protocatechuate outher membrane transport,
42A12BOOXpp,"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",
4ABUTD,4-Aminobutyraldehyde:NAD+ oxidoreductase,
4CMLCL_kt,4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN,
4HALDD,Aldehyde dehydrogenase  4 hydroxyphenylacetaldehyde  NAD,
4HBADH,4 hydroxy benzyl alcohol dehydrogenase,
4HPRO_LT_Et,Trans-4-Hydroxy-L-proline transport (transport mechanism unknown - evidence from biolog data),
4HTHRK,4-Hydroxy-L-threonine kinase,
4HTHRS,4-Hydroxy-L-threonine synthase,
5DGLCNR,5-dehydro-D-gluconate reductase,
